contest_id,problem_index,title,description,input,output,example,note,tags,editorial_content
2113,B,B. Good Start,,"Input Each test contains multiple test cases. The first line contains the number of test cases t ( 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first line of each test case contains four integers w , h , a , and b ( 1 ≤ w , h , a , b ≤ 10 9 ) — the dimensions of the roof and the dimensions of the roofing sheets, respectively. The second line of each test case contains four integers x 1 , y 1 , x 2 , and y 2 ( − a + 1 ≤ x 1 , x 2 ≤ w − 1 , − b + 1 ≤ y 1 , y 2 ≤ h − 1 ) — the coordinates of the bottom left corners of the already placed roofing sheets. It is guaranteed that these sheets do not overlap.","Output For each test case, output "" Yes "" (without quotes) if it is possible to completely tile the roof without removing either of the two already placed tiles, and "" No "" (without quotes) otherwise. You can output the answer in any case (upper or lower). For example, the strings "" yEs "", "" yes "", "" Yes "", and "" YES "" will be recognized as positive responses.",,"Note In the first test case, it is possible to add 8 roofing sheets as follows: In the second test case, it is impossible to completely tile the roof:","constructive algorithms, math, *1200",
2114,B,B. Not Quite a Palindromic String,,"Input The first line contains an integer t t ( 1 ≤ t ≤ 10 4 1 ≤ t ≤ 10 4 ) — the number of test cases. The first line of each test case contains two integers n n and k k ( 2 ≤ n ≤ 2 ⋅ 10 5 2 ≤ n ≤ 2 ⋅ 10 5 , 0 ≤ k ≤ n 2 0 ≤ k ≤ n 2 , n n is even) — the length of the string and the required number of good pairs. The second line of each test case contains a binary string s s of length n n . It is guaranteed that the sum of n n across all test cases does not exceed 2 ⋅ 10 5 2 ⋅ 10 5 .","Output For each test case, output "" YES "" if there is a way to rearrange the characters of the string so that there are exactly k k good pairs, otherwise output "" NO "". You may output each letter in any case (lowercase or uppercase). For example, the strings "" yEs "", "" yes "", "" Yes "", and "" YES "" will be accepted as a positive answer.",,,"greedy, math, *900",
2112,B,B. Shrinking Array,,"InputThe first line contains one integer tt (1≤t≤2001≤t≤200) — the number of test cases.The first line of each test case contains one integer nn (2≤n≤10002≤n≤1000) — the size of the array aa.The second line contains nn integers a1,a2,…,ana1,a2,…,an (1≤ai≤1061≤ai≤106) — the array aa itself.","OutputFor each test case, output one integer — the minimum number of operations needed to make the array aa beautiful, or −1−1 if it is impossible to make it beautiful.",,"NoteIn the first test case, the given array is already beautiful, as |a2−a3|=|3−3|=0|a2−a3|=|3−3|=0.In the second test case, it is impossible to make the array beautiful, as applying the operation would reduce its size to less than two.In the third test case, you can, for example, choose a1a1 and a2a2 and replace them with the number 22. The resulting array [2,3,7][2,3,7] is beautiful.In the fourth test case, you can, for example, choose a2a2 and a3a3 and replace them with the number 33. The resulting array [1,3,2][1,3,2] is beautiful.","brute force, greedy",
2102,B,B. The Picky Cat,,"Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 10 4 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first line of each test case contains a single integer n n ( 1 ≤ n ≤ 10 5 1 ≤ n ≤ 10 5 ) — the length of the array a a . The second line of each test case contains n n integers a 1 , a 2 , … , a n a 1 , a 2 , … , a n ( | a i | ≤ 10 6 | a i | ≤ 10 6 , | a i | ≠ | a j | | a i | ≠ | a j | ) — the elements of the array a a . It is guaranteed that the sum of n n over all test cases does not exceed 10 5 10 5 .","Output For each testcase, output "" YES "" if it is possible to make the element at index 1 1 become the median of the array, and "" NO "" otherwise. You can output the answer in any case (upper or lower). For example, the strings "" yEs "", "" yes "", "" Yes "", and "" YES "" will be recognized as positive responses.",,"Note In the first test case, a 1 = 2 a 1 = 2 is already the median of the array a = [ 2 , 3 , 1 ] a = [ 2 , 3 , 1 ] , so no operation is required. In the second test case, we can do two operations: one on index 2 2 , and one on index 5 5 . The array becomes [ 1 , − 2 , 3 , 4 , − 5 ] [ 1 , − 2 , 3 , 4 , − 5 ] , which has a median of 1 1 . In the third test case, if you do an operation on index 1 1 , the array will become [ − 4 , 2 , 0 , − 5 ] [ − 4 , 2 , 0 , − 5 ] , which has a median of − 4 − 4 . In the fourth test case, it can be proven that no sequence of operations can make the median of the array become 5 5 or − 5 − 5 .","implementation, sortings, *900",
2112,C,C. Coloring Game,,"InputThe first line contains a single integer t (1≤t≤1000) — the number of test cases.The first line of each test case contains a single integer n (3≤n≤5000).The second line contains n integers a1,a2,…,an (1≤a1≤a2≤⋯≤an≤105).Additional constraint on the input: the sum of n over all test cases doesn't exceed 5000.","OutputFor each test case, print a single integer — the number of ways that Alice can choose 3 elements in order to win regardless of Bob's actions.",,"NoteIn the first two test cases, no matter which three elements Alice chooses, Bob will be able to paint one element blue so that Alice does not win.In the third test case, Alice can choose any three elements. If Bob colors one of the red elements, the sum of red elements will be 14, and the sum of blue elements will be 7. If Bob chooses an uncolored element, the sum of red elements will be 21, and the sum of blue elements will be 7.In the fourth test case, Alice can choose either the 1-st, 3-rd and 4-th element, or the 2-nd, 3-rd and 4-th element.","binary search, brute force, greedy, two pointers",
2116,C,C. Gellyfish and Flaming Peony,,"Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 5000 1 ≤ t ≤ 5000 ). The description of the test cases follows. The first line of each test case contains a single integer n n ( 1 ≤ n ≤ 5000 1 ≤ n ≤ 5000 ) — the length of the array. The second line of each test case contains n n integers a 1 , a 2 , … , a n a 1 , a 2 , … , a n ( 1 ≤ a i ≤ 5000 1 ≤ a i ≤ 5000 ) — the elements of the array. It is guaranteed that the sum of n n over all test cases does not exceed 5000 5000 .","Output For each test case, output a single integer — the minimum number of operations to achieve her goal.",,"Note In the first test case, the following is a way that minimizes the number of operations: Choose i = 3 i = 3 and j = 2 j = 2 and replace a 3 a 3 with gcd ( a 3 , a 2 ) = gcd ( 30 , 20 ) = 10 gcd ( a 3 , a 2 ) = gcd ( 30 , 20 ) = 10 , then a a becomes [ 12 , 20 , 10 ] [ 12 , 20 , 10 ] . Choose i = 1 i = 1 and j = 3 j = 3 and replace a 1 a 1 with gcd ( a 1 , a 3 ) = gcd ( 12 , 10 ) = 2 gcd ( a 1 , a 3 ) = gcd ( 12 , 10 ) = 2 , then a a becomes [ 2 , 20 , 10 ] [ 2 , 20 , 10 ] . Choose i = 2 i = 2 and j = 1 j = 1 and replace a 2 a 2 with gcd ( a 2 , a 1 ) = gcd ( 20 , 2 ) = 2 gcd ( a 2 , a 1 ) = gcd ( 20 , 2 ) = 2 , then a a becomes [ 2 , 2 , 10 ] [ 2 , 2 , 10 ] . Choose i = 3 i = 3 and j = 1 j = 1 and replace a 3 a 3 with gcd ( a 3 , a 1 ) = gcd ( 10 , 2 ) = 2 gcd ( a 3 , a 1 ) = gcd ( 10 , 2 ) = 2 , then a a becomes [ 2 , 2 , 2 ] [ 2 , 2 , 2 ] .","brute force, dfs and similar, dp, math, number theory, shortest paths, *1500",
2107,C,C. Maximum Subarray Sum,,"Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 10 4 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first line of each test case contains two numbers n , k n , k ( 1 ≤ n ≤ 2 ⋅ 10 5 , 1 ≤ k ≤ 10 12 1 ≤ n ≤ 2 ⋅ 10 5 , 1 ≤ k ≤ 10 12 ). The second line of each test case contains a binary ( 01 01 ) string s s of length n n . The third line of each test case contains n n numbers a 1 , a 2 , … , a n a 1 , a 2 , … , a n ( | a i | ≤ 10 6 | a i | ≤ 10 6 ). If s i = 0 s i = 0 , then it's guaranteed that a i = 0 a i = 0 . It is guaranteed that the sum of n n over all test cases does not exceed 2 ⋅ 10 5 2 ⋅ 10 5 .","Output For each test case, first output Yes Yes if a solution exists or No No if no solution exists. You may print each character in either case, for example YES YES and yEs yEs will also be accepted. If there's at least one solution, print n n numbers a 1 , a 2 , … , a n a 1 , a 2 , … , a n on the second line. | a i | ≤ 10 18 | a i | ≤ 10 18 must hold.",,"Note In test case 1 1 , only the first position is not filled. We can fill it with 4 4 to get the array [ 4 , 0 , 1 ] [ 4 , 0 , 1 ] which has maximum subarray sum of 5 5 . In test case 2 2 , only the third position is not filled. We can fill it with 5 5 to get the array [ 4 , − 3 , 5 , − 2 , 1 ] [ 4 , − 3 , 5 , − 2 , 1 ] . Here the maximum subarray sum comes from the subarray [ 4 , − 3 , 5 ] [ 4 , − 3 , 5 ] and it is 6 6 , as required. In test case 3 3 , the first and second positions are unfilled. We can fill both with 2 2 to get the array [ 2 , 2 , − 4 , − 5 ] [ 2 , 2 , − 4 , − 5 ] which has a maximum subarray sum of 4 4 . Note that other outputs are also possible such as [ 0 , 4 , − 4 , − 5 ] [ 0 , 4 , − 4 , − 5 ] . In test case 4 4 , it is impossible to get a valid array. For example, if we filled the third position with 0 0 , we get [ 1 , 2 , 0 , 5 , − 1 , 9 ] [ 1 , 2 , 0 , 5 , − 1 , 9 ] , but this has a maximum subarray sum of 16 16 , not 12 12 as required.","binary search, constructive algorithms, dp, implementation, math, *1500",
2102,C,C. Mex in the Grid,,Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 100 1 ≤ t ≤ 100 ). The description of the test cases follows. The first line of each test case contains a single integer n n ( 1 ≤ n ≤ 500 1 ≤ n ≤ 500 ) — the side length of the grid. It is guaranteed that the sum of n n over all test cases does not exceed 1000 1000 .,"Output For each test case, output n n lines, each containing n n integers representing the elements of the grid. If there are multiple answers, you can output any of them.",,"Note In the first test case, one valid arrangement is: 0 1 2 3 There are 9 9 subgrids in total, and the 4 4 of them with non-zero MEX are shown below: 0 values: [ 0 ] [ 0 ] — MEX: 1 1 0 1 values: [ 0 , 1 ] [ 0 , 1 ] — MEX: 2 2 0 2 values: [ 0 , 2 ] [ 0 , 2 ] — MEX: 1 1 0 1 2 3 values: [ 0 , 1 , 2 , 3 ] [ 0 , 1 , 2 , 3 ] — MEX: 4 4 The sum of MEX over all subgrids would be 1 + 2 + 1 + 4 = 8 1 + 2 + 1 + 4 = 8 . It can be proven that no other arrangements have a larger sum of MEX values.","constructive algorithms, *1300",
2114,C,C. Need More Arrays,,"Input The first line of input contains one integer t t ( 1 ≤ t ≤ 10 4 1 ≤ t ≤ 10 4 ) — the number of test cases. The first line of each test case contains one integer n n ( 1 ≤ n ≤ 2 ⋅ 10 5 1 ≤ n ≤ 2 ⋅ 10 5 ) — the length of the array. The second line of each test case contains n n integers a 1 , a 2 , … , a n a 1 , a 2 , … , a n ( 1 ≤ a i ≤ 10 6 1 ≤ a i ≤ 10 6 , a i ≤ a i + 1 a i ≤ a i + 1 ) — the elements of the array. It is guaranteed that the sum of n n across all test cases does not exceed 2 ⋅ 10 5 2 ⋅ 10 5 .","Output For each test case, output one integer — the maximum number of arrays that can be obtained by removing any (possibly zero) number of elements.",,"Note In the first example, you can remove a 3 a 3 and a 5 a 5 , then a = [ 1 , 2 , 4 , 6 ] a = [ 1 , 2 , 4 , 6 ] , the process of forming arrays for it is shown in the statement. In the second example, you need to remove a 2 a 2 , after which a = [ 1 , 3 ] a = [ 1 , 3 ] , and the arrays [ 1 ] [ 1 ] and [ 3 ] [ 3 ] will be written. In the third example, no removals are needed; for a = [ 1 , 2 , 2 , 4 ] a = [ 1 , 2 , 2 , 4 ] , the arrays [ 1 , 2 , 2 ] [ 1 , 2 , 2 ] and [ 4 ] [ 4 ] will be written.","dp, greedy, *1000",
1700,,A. Optimal Path,"A. Optimal Path time limit per test2 seconds memory limit per test256 megabytes You are given a table a of size n×m . We will consider the table rows numbered from top to bottom from 1 to n , and the columns numbered from left to right from 1 to m . We will denote a cell that is in the i -th row and in the j -th column as (i,j) . In the cell (i,j) there is written a number (i−1)⋅m+j , that is aij=(i−1)⋅m+j . A turtle initially stands in the cell (1,1) and it wants to come to the cell (n,m) . From the cell (i,j) it can in one step go to one of the cells (i+1,j) or (i,j+1) , if it exists. A path is a sequence of cells in which for every two adjacent in the sequence cells the following satisfies: the turtle can reach from the first cell to the second cell in one step. A cost of a path is the sum of numbers that are written in the cells of the path. For example, with n=2 and m=3 the table will look as shown above. The turtle can take the following path: (1,1)→(1,2)→(1,3)→(2,3) . The cost of such way is equal to a11+a12+a13+a23=12 . On the other hand, the paths (1,1)→(1,2)→(2,2)→(2,1) and (1,1)→(1,3) are incorrect, because in the first path the turtle can't make a step (2,2)→(2,1) , and in the second path it can't make a step (1,1)→(1,3) . You are asked to tell the turtle a minimal possible cost of a path from the cell (1,1) to the cell (n,m) . Please note that the cells (1,1) and (n,m) are a part of the way. Input The first line contains a single integer t ( 1≤t≤1000 ) — the number of test cases. The description of test cases follows. A single line of each test case contains two integers n and m ( 1≤n,m≤104 ) — the number of rows and columns of the table a respectively. Output For each test case output a single integer — a minimal possible cost of a path from the cell (1,1) to the cell (n,m) . Example input Copy 7 1 1 2 3 3 2 7 1 1 10 5 5 10000 10000 output Copy 1 12 13 28 55 85 500099995000 Note In the first test case the only possible path consists of a single cell (1,1) . The path with the minimal cost in the second test case is shown in the statement. In the fourth and the fifth test cases there is only one path from (1,1) to (n,m) . Both paths visit every cell in the table.",,,Input: 7 1 1 2 3 3 2 7 1 1 10 5 5 10000 10000 Output: 1 12 13 28 55 85 500099995000,,"constructive algorithms, greedy, math",
1700,,B. Palindromic Numbers,"B. Palindromic Numbers time limit per test2 seconds memory limit per test256 megabytes During a daily walk Alina noticed a long number written on the ground. Now Alina wants to find some positive number of same length without leading zeroes, such that the sum of these two numbers is a palindrome. Recall that a number is called a palindrome, if it reads the same right to left and left to right. For example, numbers 121,66,98989 are palindromes, and 103,239,1241 are not palindromes. Alina understands that a valid number always exist. Help her find one! Input The first line of input data contains an integer t ( 1≤t≤100 ) — the number of test cases. Next, descriptions of t test cases follow. The first line of each test case contains a single integer n ( 2≤n≤100000 ) — the length of the number that is written on the ground. The second line of contains the positive n -digit integer without leading zeroes — the number itself. It is guaranteed that the sum of the values n over all test cases does not exceed 100000 . Output For each of t test cases print an answer — a positive n -digit integer without leading zeros, such that the sum of the input integer and this number is a palindrome. We can show that at least one number satisfying the constraints exists. If there are multiple solutions, you can output any of them. Example input Copy 3 2 99 4 1023 3 385 output Copy 32 8646 604 Note In the first test case 99+32=131 is a palindrome. Note that another answer is 12 , because 99+12=111 is also a palindrome. In the second test case 1023+8646=9669 . In the third test case 385+604=989 .",,,Input: 3 2 99 4 1023 3 385 Output: 32 8646 604,,"constructive algorithms, implementation, math",
1700,,C. Helping the Nature,"C. Helping the Nature time limit per test2 seconds memory limit per test256 megabytes Little Leon lives in the forest. He has recently noticed that some trees near his favourite path are withering, while the other ones are overhydrated so he decided to learn how to control the level of the soil moisture to save the trees. There are n trees growing near the path, the current levels of moisture of each tree are denoted by the array a 1 , a 2 ,…, a n . Leon has learned three abilities which will help him to dry and water the soil. Choose a position i and decrease the level of moisture of the trees 1,2,…,i by 1 . Choose a position i and decrease the level of moisture of the trees i,i+1,…,n by 1 . Increase the level of moisture of all trees by 1 . Leon wants to know the minimum number of actions he needs to perform to make the moisture of each tree equal to 0 . Input The first line contains a single integer t ( 1≤t≤2⋅ 10 4 ) — the number of test cases. The description of t test cases follows. The first line of each test case contains a single integer n ( 1≤n≤200000 ). The second line of each test case contains n integers a 1 , a 2 ,…, a n ( − 10 9 ≤ a i ≤ 10 9 ) — the initial levels of trees moisture. It is guaranteed that the sum of n over all test cases doesn't exceed 200000 . Output For each test case output a single integer — the minimum number of actions. It can be shown that the answer exists. Example input Copy 4 3 -2 -2 -2 3 10 4 7 4 4 -4 4 -4 5 1 -2 3 -4 5 output Copy 2 13 36 33 Note In the first test case it's enough to apply the operation of adding 1 to the whole array 2 times. In the second test case you can apply the operation of decreasing 4 times on the prefix of length 3 and get an array 6,0,3 . After that apply the operation of decreasing 6 times on the prefix of length 1 and 3 times on the suffix of length 1 . In total, the number of actions will be 4+6+3=13 . It can be shown that it's impossible to perform less actions to get the required array, so the answer is 13 .",,,Input: 4 3 -2 -2 -2 3 10 4 7 4 4 -4 4 -4 5 1 -2 3 -4 5 Output: 2 13 36 33,,"constructive algorithms, data structures, greedy",
1700,,D. River Locks,"D. River Locks time limit per test2 seconds memory limit per test256 megabytes Recently in Divanovo, a huge river locks system was built. There are now n locks, the i -th of them has the volume of vi liters, so that it can contain any amount of water between 0 and vi liters. Each lock has a pipe attached to it. When the pipe is open, 1 liter of water enters the lock every second. The locks system is built in a way to immediately transfer all water exceeding the volume of the lock i to the lock i+1 . If the lock i+1 is also full, water will be transferred further. Water exceeding the volume of the last lock pours out to the river. The picture illustrates 5 locks with two open pipes at locks 1 and 3 . Because locks 1 , 3 , and 4 are already filled, effectively the water goes to locks 2 and 5 . Note that the volume of the i -th lock may be greater than the volume of the i+1 -th lock. To make all locks work, you need to completely fill each one of them. The mayor of Divanovo is interested in q independent queries. For each query, suppose that initially all locks are empty and all pipes are closed. Then, some pipes are opened simultaneously. For the j -th query the mayor asks you to calculate the minimum number of pipes to open so that all locks are filled no later than after tj seconds. Please help the mayor to solve this tricky problem and answer his queries. Input The first lines contains one integer n ( 1≤n≤200000 ) — the number of locks. The second lines contains n integers v1,v2,…,vn ( 1≤vi≤109 )) — volumes of the locks. The third line contains one integer q ( 1≤q≤200000 ) — the number of queries. Each of the next q lines contains one integer tj ( 1≤tj≤109 ) — the number of seconds you have to fill all the locks in the query j . Output Print q integers. The j -th of them should be equal to the minimum number of pipes to turn on so that after tj seconds all of the locks are filled. If it is impossible to fill all of the locks in given time, print −1 . Examples input Copy 5 4 1 5 4 1 6 1 6 2 3 4 5 output Copy -1 3 -1 -1 4 3 input Copy 5 4 4 4 4 4 6 1 3 6 5 2 4 output Copy -1 -1 4 4 -1 5 Note There are 6 queries in the first example test. In the queries 1,3,4 the answer is −1 . We need to wait 4 seconds to fill the first lock even if we open all the pipes. In the sixth query we can open pipes in locks 1 , 3 , and 4 . After 4 seconds the locks 1 and 4 are full. In the following 1 second 1 liter of water is transferred to the locks 2 and 5 . The lock 3 is filled by its own pipe. Similarly, in the second query one can open pipes in locks 1 , 3 , and 4 . In the fifth query one can open pipes 1,2,3,4 .",,,Input: 5 4 1 5 4 1 6 1 6 2 3 4 5 Output: -1 3 -1 -1 4 3,,"binary search, dp, greedy, math",
